TITLE = "PROPAN_70_T0"
 VARIABLES="X","Y","Z","S/C","R","POT","CP","CPN","VX","VY","VZ"
ZONE T = "Blade   1 T=0", I=  80 J=  40 F=POINT
   0.2766566925993824E+00   0.1452094558067836E+00   0.1444332803637716E+00   0.9963186382664478E+00   0.2048090782468934E+00   0.1829673855611816E-01   0.5892484499805775E+00   0.5326793687983299E+00   0.1323163917543271E+00  -0.1150104472037336E+00   0.8299038423636854E-01
   0.2727045943279002E+00   0.1481242916767682E+00   0.1414335871918461E+00   0.9877506511965126E+00   0.2048029916058304E+00   0.1887102162029928E-01   0.5060169631940983E+00   0.4574258271628193E+00   0.1452460194218350E+00  -0.1219179210700384E+00   0.9635524626507326E-01
   0.2676581037104387E+00   0.1517593789489364E+00   0.1375145668140790E+00   0.9768065402904511E+00   0.2047954227638662E+00   0.1944515455331860E-01   0.4212853510096228E+00   0.3808178212417456E+00   0.1577466633916277E+00  -0.1260207308945279E+00   0.1106272947471999E+00
   0.2615256025058074E+00   0.1560106946050228E+00   0.1326585779491507E+00   0.9635396856163454E+00   0.2047868041027854E+00   0.2002933456992433E-01   0.3623300345346919E+00   0.3275129691358872E+00   0.1668148706622143E+00  -0.1258984660850838E+00   0.1213399711211652E+00
   0.2543002134756127E+00   0.1607369073947830E+00   0.1268763781817098E+00   0.9480147344767312E+00   0.2047778521699729E+00   0.2060604896183274E-01   0.3127081719881278E+00   0.2826480615229571E+00   0.1756350594273555E+00  -0.1234966987628163E+00   0.1297844515764890E+00
   0.2459830226381219E+00   0.1657898692641613E+00   0.1201825551262447E+00   0.9303073969446963E+00   0.2047684724446138E+00   0.2116988050876262E-01   0.2723590513187425E+00   0.2461673078775079E+00   0.1832289312370767E+00  -0.1195260878157369E+00   0.1370263382457274E+00
   0.2365988751825891E+00   0.1710336749384114E+00   0.1125772677757253E+00   0.9105039852499043E+00   0.2047587829197701E+00   0.2171552515019205E-01   0.2375756618709295E+00   0.2147196015236731E+00   0.1899614371738245E+00  -0.1144111744113556E+00   0.1436754347361121E+00
   0.2261739673163505E+00   0.1763232793376417E+00   0.1040788009338517E+00   0.8887009283558139E+00   0.2047493483267001E+00   0.2223400394804396E-01   0.2071214233301348E+00   0.1871873271464043E+00   0.1964375613376639E+00  -0.1080408634906499E+00   0.1494760528898893E+00
   0.2147347354013497E+00   0.1815080610323355E+00   0.9472818466975405E-01   0.8650044214539495E+00   0.2047403360125822E+00   0.2272383624112385E-01   0.1823319833705200E+00   0.1647770691785529E+00   0.2023382236729357E+00  -0.1003335839800137E+00   0.1544765116631355E+00
   0.2023229456980375E+00   0.1864489429903521E+00   0.8456851319316451E-01   0.8395299411653608E+00   0.2047316335252616E+00   0.2318857246370476E-01   0.1624084801187712E+00   0.1467660879783295E+00   0.2074453226143362E+00  -0.9168790037029671E-01   0.1589077564163189E+00
   0.1889962254003510E+00   0.1910191792381502E+00   0.7364295147245700E-01   0.8124016174741140E+00   0.2047232550014561E+00   0.2362896579360338E-01   0.1448615198606167E+00   0.1309042604340451E+00   0.2119707165301642E+00  -0.8231229474203110E-01   0.1630604733837241E+00
   0.1748313157721908E+00   0.1951044016254321E+00   0.6198722141113409E-01   0.7837517859435539E+00   0.2047147848883682E+00   0.2403977983002408E-01   0.1235658341161867E+00   0.1116561628835436E+00   0.2163247715263118E+00  -0.7282463309699085E-01   0.1677574278256904E+00
   0.1598817795803906E+00   0.1985840690583796E+00   0.4969813731333256E-01   0.7537194219947051E+00   0.2047084202865093E+00   0.2438771276450285E-01   0.9803543554101728E-01   0.8858394465951547E-01   0.2220084824103676E+00  -0.6245313317274406E-01   0.1714331563353111E+00
   0.1441741423476063E+00   0.2013431944433741E+00   0.3694110516451082E-01   0.7224506908899300E+00   0.2047039989825255E+00   0.2466257028880968E-01   0.7310600374920827E-01   0.6605662650642766E-01   0.2280864012741880E+00  -0.5144800272779837E-01   0.1737465630400866E+00
   0.1277542466610320E+00   0.2033045221092141E+00   0.2387177993942647E-01   0.6900978648012539E+00   0.2047012227309166E+00   0.2486088850941357E-01   0.4966851050719746E-01   0.4487857831738495E-01   0.2341495802522101E+00  -0.4018481848137721E-01   0.1748198339099644E+00
   0.1106844434229970E+00   0.2044234869476508E+00   0.1063416718551978E-01   0.6568185089417702E+00   0.2046998962568519E+00   0.2498097618094682E-01   0.2639305847322201E-01   0.2384762304052654E-01   0.2401884240537643E+00  -0.2883034974976689E-01   0.1749613957496459E+00
   0.9302644570893354E-01   0.2046838353721387E+00  -0.2615854597285207E-02   0.6227744811068542E+00   0.2047005499697617E+00   0.2501291226039044E-01   0.3671854724737915E-02   0.3317738389679225E-02   0.2464326807274738E+00  -0.1749894169736033E-01   0.1737189076380399E+00
   0.7484545072961149E-01   0.2040979372567873E+00  -0.1572293423174460E-01   0.5881317299833287E+00   0.2047026591261854E+00   0.2495750956843171E-01  -0.1761328640604490E-01  -0.1591479838626813E-01   0.2524839929985403E+00  -0.6480264121268451E-02   0.1713852511286612E+00
   0.5622018905343822E-01   0.2027047645162339E+00  -0.2855457608525223E-01   0.5530590370944281E+00   0.2047060951046410E+00   0.2481417257035731E-01  -0.3817129163257161E-01  -0.3449087982964462E-01   0.2583920981697781E+00   0.4100542614086212E-02   0.1681170166301759E+00
   0.3723403796109609E-01   0.2005649061536337E+00  -0.4099031899278721E-01   0.5177273026564241E+00   0.2047107418567632E+00   0.2458103404889402E-01  -0.5841867852278250E-01  -0.5278714459512478E-01   0.2642028469980656E+00   0.1411414934920715E-01   0.1640121038644226E+00
