TITLE = "PROPAN_90_T0"
VARIABLES="S/C","r/R","POT","CP","CPN"
ZONE T="BLADE r/R= 0.250", I=  80 F=POINT
   0.9963132581371299E+00   0.2500000000000000E+00   0.1923471723646217E-01   0.5031455501558978E+00   0.7179406372679982E+00
   0.9877442235044607E+00   0.2500000000000000E+00   0.1985048496804002E-01   0.4137964969672510E+00   0.5904333765039050E+00
   0.9767987620090234E+00   0.2500000000000000E+00   0.2042705708739572E-01   0.3169958624824569E+00   0.4522989811967016E+00
   0.9635302876859899E+00   0.2500000000000000E+00   0.2095287696114764E-01   0.2417737305777440E+00   0.3449634203270163E+00
   0.9480035347316940E+00   0.2500000000000000E+00   0.2140559335569800E-01   0.1790493855446654E+00   0.2554637982468491E+00
   0.9302942185378316E+00   0.2500000000000000E+00   0.2178277451586131E-01   0.1294895886042046E+00   0.1847514756496549E+00
   0.9104886827728487E+00   0.2500000000000000E+00   0.2208493481244267E-01   0.8875048530517618E-01   0.1266275043794982E+00
   0.8886834556995484E+00   0.2500000000000000E+00   0.2230612332312784E-01   0.5449663443031331E-01   0.7775973024953298E-01
   0.8649848029227440E+00   0.2500000000000000E+00   0.2245255699184953E-01   0.2815459560479398E-01   0.4018908923541537E-01
   0.8395082451264738E+00   0.2500000000000000E+00   0.2253658155919603E-01   0.8589999521074764E-02   0.1229141543656960E-01
   0.8123779835817670E+00   0.2500000000000000E+00   0.2256611602810084E-01  -0.7308003213189270E-02  -0.1037422910082790E-01
   0.7837264057113552E+00   0.2500000000000000E+00   0.2254012884945509E-01  -0.2820005013515000E-01  -0.4017506079208795E-01
   0.7536927781336764E+00   0.2500000000000000E+00   0.2240388310118697E-01  -0.5609956643660683E-01  -0.7998470181564296E-01
   0.7224232971371172E+00   0.2500000000000000E+00   0.2215109669779384E-01  -0.8308615793198344E-01  -0.1184922833877970E+00
   0.6900701862426599E+00   0.2500000000000000E+00   0.2178419052358108E-01  -0.1079891472720605E+00  -0.1540243897648555E+00
   0.6567909920661618E+00   0.2500000000000000E+00   0.2130840931419991E-01  -0.1315404258086505E+00  -0.1876272677374644E+00
   0.6227476380677438E+00   0.2500000000000000E+00   0.2072256335242347E-01  -0.1538470436822331E+00  -0.2194545895719114E+00
   0.5881059626103556E+00   0.2500000000000000E+00   0.2003400041572002E-01  -0.1741481738475348E+00  -0.2484162549511474E+00
   0.5530346866285583E+00   0.2500000000000000E+00   0.1924976848130574E-01  -0.1930501446554460E+00  -0.2753794300101881E+00
   0.5177046411461946E+00   0.2500000000000000E+00   0.1837446852344222E-01  -0.2111200948283908E+00  -0.3011532975187933E+00
   0.4822879500126500E+00   0.2500000000000000E+00   0.1741249183632530E-01  -0.2290141995544223E+00  -0.3266738459292221E+00
   0.4469570878416186E+00   0.2500000000000000E+00   0.1636509416856381E-01  -0.2451186887518630E+00  -0.3496397069032948E+00
   0.4118842834131183E+00   0.2500000000000000E+00   0.1524939704603282E-01  -0.2550372220492082E+00  -0.3637783690066267E+00
   0.3772408744532979E+00   0.2500000000000000E+00   0.1410363297315188E-01  -0.2642718000107528E+00  -0.3769408822997594E+00
   0.3431953435098329E+00   0.2500000000000000E+00   0.1291478857699990E-01  -0.2758777990243029E+00  -0.3934876570101395E+00
   0.3099136713239791E+00   0.2500000000000000E+00   0.1168764256442909E-01  -0.2876994536186842E+00  -0.4103427308754363E+00
   0.2775580817113529E+00   0.2500000000000000E+00   0.1042982172479044E-01  -0.2996306298324120E+00  -0.4273571024436745E+00
   0.2462862702820428E+00   0.2500000000000000E+00   0.9148939371498058E-02  -0.3120349133831610E+00  -0.4450489219104723E+00
   0.2162506344469138E+00   0.2500000000000000E+00   0.7851194626046200E-02  -0.3257201520453157E+00  -0.4645697387384293E+00
   0.1875974744811207E+00   0.2500000000000000E+00   0.6538639416575493E-02  -0.3340179304617645E+00  -0.4764088911600849E+00
   0.1604666594876369E+00   0.2500000000000000E+00   0.5250399235696483E-02  -0.3374383564266832E+00  -0.4812900548801162E+00
   0.1349903407228398E+00   0.2500000000000000E+00   0.4000969322998511E-02  -0.3423724086205180E+00  -0.4883302770141102E+00
   0.1112925683244968E+00   0.2500000000000000E+00   0.2786927794833947E-02  -0.3484452998783084E+00  -0.4969967501778518E+00
   0.8948882053057479E-01   0.2500000000000000E+00   0.1613189471081242E-02  -0.3518420227983242E+00  -0.5018473956773528E+00
   0.6968535068234431E-01   0.2500000000000000E+00   0.4921943230344425E-03  -0.3511284629155553E+00  -0.5008377127259035E+00
   0.5197861349283403E-01   0.2500000000000000E+00  -0.5666024624989617E-03  -0.3516120076408820E+00  -0.5015381806807564E+00
   0.3645480579942681E-01   0.2500000000000000E+00  -0.1577728500053641E-02  -0.3490623162771963E+00  -0.4979097713423128E+00
