TITLE = "GEOMETRY"
VARIABLES="X0" "Y0" "Z0" "UNX0" "UNY0" "UNZ0" "ET1X" "ET1Y" "ET1Z" "ET2X" "ET2Y" "ET2Z" "AT1X" "AT1Y" "AT1Z" "AT2X" "AT2Y" "AT2Z" "A0"
ZONE T="BLADE" F=POINT, I=    80 J=    40
   0.2766566925993824E+00   0.1452094558067836E+00   0.1444332803637716E+00   0.7261265458143977E+00   0.4805549999366167E+00  -0.4917388854865657E+00  -0.6875470063640012E+00   0.5120751168683659E+00  -0.5148380218322551E+00   0.4399261705285928E-02   0.7119311530760315E+00   0.7022354874088041E+00  -0.1700669248347067E-02   0.1266633984354379E-02  -0.1273468117096867E-02   0.1822516833200200E-03   0.3309519893768223E-02   0.3503371745582871E-02   0.4766143218570801E-04
   0.2727045943279002E+00   0.1481242916767682E+00   0.1414335871918461E+00   0.7274198108292317E+00   0.4759378311916754E+00  -0.4943112376365008E+00  -0.6861895210231012E+00   0.5023382264456782E+00  -0.5261180927220596E+00  -0.2088073574349880E-02   0.7218999148718436E+00   0.6919943300755963E+00  -0.2251429023135132E-02   0.1648201885630300E-02  -0.1726225054828646E-02   0.1806056906739628E-03   0.3337894611599050E-02   0.3479602219362048E-02   0.6322095756512055E-04
   0.2676581037104387E+00   0.1517593789489364E+00   0.1375145668140790E+00   0.7268882331119514E+00   0.4718215998980790E+00  -0.4990169079630495E+00  -0.6866740721341708E+00   0.4881261586532760E+00  -0.5387128844728634E+00  -0.1059316865065671E-01   0.7342460290039122E+00   0.6788008203220771E+00  -0.2795061594326340E-02   0.1986885386537844E-02  -0.2192795322938382E-02   0.1782088392826425E-03   0.3374384580984803E-02   0.3450074361228322E-02   0.7843977331561480E-04
   0.2615256025058074E+00   0.1560106946050228E+00   0.1326585779491507E+00   0.7229854878668348E+00   0.4693852359977809E+00  -0.5069215763422015E+00  -0.6905396821529407E+00   0.4685265176824068E+00  -0.5510334378243420E+00  -0.2114075935415931E-01   0.7484386430801826E+00   0.6628670046383548E+00  -0.3337439610304985E-02   0.2264430269548506E-02  -0.2663193541989926E-02   0.1746541902751114E-03   0.3419287048816597E-02   0.3415193560726025E-02   0.9316751799031949E-04
   0.2543002134756127E+00   0.1607369073947830E+00   0.1268763781817098E+00   0.7139692728674185E+00   0.4696847482887774E+00  -0.5192726784899024E+00  -0.6993718917820974E+00   0.4428302203492688E+00  -0.5610528967312693E+00  -0.3356835394087715E-01   0.7637392442256231E+00   0.6446514813784066E+00  -0.3887949419889722E-02   0.2461782520211730E-02  -0.3119006225450974E-02   0.1694791006895541E-03   0.3473356512121523E-02   0.3374692183872725E-02   0.1072381097690471E-03
   0.2459830226381219E+00   0.1657898692641613E+00   0.1201825551262447E+00   0.7043913272124056E+00   0.4689872604622810E+00  -0.5328074771172325E+00  -0.7082327023174093E+00   0.4143278226733648E+00  -0.5716107895473359E+00  -0.4732121634241495E-01   0.7799893620318379E+00   0.6240010397435577E+00  -0.4429241417601072E-02   0.2591179349166618E-02  -0.3574816830014198E-02   0.1622874059042170E-03   0.3537277294090126E-02   0.3328128648793949E-02   0.1207788671313474E-03
   0.2365988751825891E+00   0.1710336749384114E+00   0.1125772677757253E+00   0.6948860290405006E+00   0.4666728017301193E+00  -0.5471287807908530E+00  -0.7164323477831462E+00   0.3835445700326856E+00  -0.5827677529242427E+00  -0.6211358703418704E-01   0.7969379266441038E+00   0.6008592542201072E+00  -0.4954906037931778E-02   0.2652626325083431E-02  -0.4030470520505151E-02   0.1530815907310745E-03   0.3611590112341627E-02   0.3274923926574653E-02   0.1337978081517227E-03
   0.2261739673163505E+00   0.1763232793376417E+00   0.1040788009338517E+00   0.6837679800741615E+00   0.4636223975447636E+00  -0.5634852455212527E+00  -0.7255540012748400E+00   0.3497750189168654E+00  -0.5926456170223281E+00  -0.7767071944671682E-01   0.8140710709984427E+00   0.5755480437844244E+00  -0.5470001828306807E-02   0.2636978074146895E-02  -0.4467996321368458E-02   0.1419847647010988E-03   0.3696824069338855E-02   0.3213952962359757E-02   0.1462046809090056E-03
   0.2147347354013497E+00   0.1815080610323355E+00   0.9472818466975404E-01   0.6716171421507754E+00   0.4590750146040181E+00  -0.5815329271292777E+00  -0.7349675372492291E+00   0.3137009170683777E+00  -0.6011775559851363E+00  -0.9355818274757188E-01   0.8311689753574657E+00   0.5480921463077103E+00  -0.5969230086694019E-02   0.2547803620546955E-02  -0.4882619942729201E-02   0.1291341059916767E-03   0.3793238036120604E-02   0.3143604430231189E-02   0.1580080362251144E-03
   0.2023229456980375E+00   0.1864489429903521E+00   0.8456851319316451E-01   0.6597159774182669E+00   0.4518179411130512E+00  -0.6005292476036651E+00  -0.7435229405006429E+00   0.2761803922984569E+00  -0.6090139800194636E+00  -0.1093090393715816E+00   0.8482835251248452E+00   0.5181376215962592E+00  -0.6442559616618097E-02   0.2393078337469594E-02  -0.5277051533860325E-02   0.1152429363440524E-03   0.3900942550247706E-02   0.3061538543177460E-02   0.1692363222398985E-03
   0.1889962254003510E+00   0.1910191792381502E+00   0.7364295147245702E-01   0.6485086979311412E+00   0.4411600310043920E+00  -0.6203340195022837E+00  -0.7509565650091667E+00   0.2374946055978849E+00  -0.6161660082977138E+00  -0.1245018320238264E+00   0.8654329201943436E+00   0.4853093389443500E+00  -0.6884160681068480E-02   0.2177157910328499E-02  -0.5648510186847169E-02   0.1015428005767816E-03   0.4019683785269755E-02   0.2964814365975645E-02   0.1798593847796704E-03
