 TITLE="PROPELLER"
 VARIABLES= "X" "Y" "Z" 
 ZONE T="BLADE   1" F=POINT, I=  81 J=  41
   0.2781744392615862E+00   0.1406454824200916E+00   0.1421929965744436E+00
   0.2747744425705386E+00   0.1431543894059391E+00   0.1396668206619338E+00
   0.2702735347039139E+00   0.1464184047243993E+00   0.1362411492830342E+00
   0.2646862550383983E+00   0.1503515840115039E+00   0.1318878356226672E+00
   0.2580156415926663E+00   0.1548312311009084E+00   0.1265989331541822E+00
   0.2502458271571800E+00   0.1596958706644145E+00   0.1204044388414920E+00
   0.2413956433072554E+00   0.1648093132757279E+00   0.1133044141134094E+00
   0.2314959438764606E+00   0.1700348563764116E+00   0.1053002735848919E+00
   0.2205680212268382E+00   0.1752180541601941E+00   0.9642942235809197E-01
   0.2086431813638778E+00   0.1802115918322358E+00   0.8673973812095372E-01
   0.1957722241595092E+00   0.1848844090479730E+00   0.7627421117902038E-01
   0.1820171410400392E+00   0.1891145818577879E+00   0.6508206303394236E-01
   0.1674649957633107E+00   0.1927963333003086E+00   0.5319373897326934E-01
   0.1521349610970026E+00   0.1957989073760645E+00   0.4077729601554411E-01
   0.1360635961572949E+00   0.1980307718713928E+00   0.2799666751633789E-01
   0.1193074323424882E+00   0.1994366923909751E+00   0.1500019093703739E-01
   0.1019355333644344E+00   0.1999907152559152E+00   0.1927125171711577E-02
   0.8400279638604559E-01   0.1996944661984377E+00  -0.1105079950596445E-01
   0.6558532683695890E-01   0.1985792228071954E+00  -0.2379689621127591E-01
   0.4676472287598860E-01   0.1966990619409612E+00  -0.3618672452082303E-01
   0.2762628602766558E-01   0.1941276352594316E+00  -0.4810884771620613E-01
   0.8259858806987713E-02   0.1909539072975278E+00  -0.5946936427949406E-01
  -0.1125791527247661E-01   0.1872882908662692E+00  -0.7016477823232799E-01
  -0.3083902537059061E-01   0.1832480602734095E+00  -0.8012582858250444E-01
  -0.5032489311599198E-01   0.1789018428988850E+00  -0.8940990217745842E-01
  -0.6962172934960588E-01   0.1743559009629948E+00  -0.9797969074957497E-01
  -0.8862790705790775E-01   0.1697095951529755E+00  -0.1058236897533494E+00
  -0.1072409233652543E+00   0.1650565771563343E+00  -0.1129439079252841E+00
  -0.1253625588980420E+00   0.1604873875423571E+00  -0.1193473855592543E+00
  -0.1429009827833160E+00   0.1560906159602752E+00  -0.1250428710848479E+00
  -0.1597958432965888E+00   0.1519808551989743E+00  -0.1300069984769605E+00
  -0.1759310454552552E+00   0.1481995236914918E+00  -0.1343015308089039E+00
  -0.1912010875867764E+00   0.1447829348387762E+00  -0.1379779032289978E+00
  -0.2055378595876406E+00   0.1417971156861690E+00  -0.1410445957244842E+00
  -0.2188778140551069E+00   0.1393003868121426E+00  -0.1435109829733859E+00
  -0.2311523884236479E+00   0.1373299452227522E+00  -0.1453976827364036E+00
  -0.2422964086253433E+00   0.1359111353381505E+00  -0.1467247875823814E+00
  -0.2522919798141451E+00   0.1351139393054247E+00  -0.1474592262470207E+00
  -0.2611661722220796E+00   0.1350500745037248E+00  -0.1475177188562052E+00
  -0.2690561753087900E+00   0.1359536187944058E+00  -0.1466854237363256E+00
  -0.2781744392615862E+00   0.1406454824200916E+00  -0.1421929965744436E+00
  -0.2796245529868871E+00   0.1489789962534917E+00  -0.1334363469048150E+00
  -0.2771757086630001E+00   0.1544126143909594E+00  -0.1271091834485176E+00
  -0.2731287217588304E+00   0.1597194649903523E+00  -0.1203731386281658E+00
  -0.2676730495353096E+00   0.1650112221514656E+00  -0.1130101613310931E+00
  -0.2609139920068482E+00   0.1702721209339494E+00  -0.1049161800327029E+00
  -0.2529070856335724E+00   0.1754152113433759E+00  -0.9607030565871416E-01
  -0.2436842581800094E+00   0.1803232585395760E+00  -0.8650735477211882E-01
  -0.2332811207428195E+00   0.1848817677918095E+00  -0.7628061312139170E-01
  -0.2217481836949617E+00   0.1889898263313045E+00  -0.6544345302062972E-01
  -0.2091488167151074E+00   0.1925579407312485E+00  -0.5405034191696650E-01
  -0.1955087875357271E+00   0.1954882821248526E+00  -0.4224134884060943E-01
  -0.1808592211355464E+00   0.1977113016022312E+00  -0.3017020415495375E-01
  -0.1652936006768342E+00   0.1991973960064731E+00  -0.1789964871835037E-01
  -0.1488801739216658E+00   0.1999230295569182E+00  -0.5548175626602138E-02
  -0.1316912861530580E+00   0.1998856071483588E+00   0.6763435142883076E-02
  -0.1137970951313511E+00   0.1991044921471374E+00   0.1890505770502942E-01
  -0.9527482983573385E-01   0.1976207764317386E+00   0.3075757991970088E-01
  -0.7621564922108057E-01   0.1954910961879260E+00   0.4222832356657169E-01
  -0.5664629557437340E-01   0.1928166007640851E+00   0.5312022655997826E-01
  -0.3666750591682504E-01   0.1896937219396107E+00   0.6337422075810996E-01
  -0.1639407353128606E-01   0.1862156292429219E+00   0.7296395977236063E-01
   0.4074540809350224E-02   0.1824857277459400E+00   0.8184716958474900E-01
   0.2463323301594946E-01   0.1786050341127077E+00   0.9000134326552314E-01
   0.4517355970355764E-01   0.1746696949818060E+00   0.9741918525097024E-01
   0.6558923030762756E-01   0.1707727644915607E+00   0.1040992935034141E+00
   0.8575373703020078E-01   0.1669811500729328E+00   0.1100785879284464E+00
   0.1055552513698187E+00   0.1633643798556258E+00   0.1153779848774748E+00
   0.1248955134706483E+00   0.1599958906427825E+00   0.1200054789475163E+00
   0.1436499763623473E+00   0.1569107736380518E+00   0.1240121329399187E+00
   0.1617276322794638E+00   0.1541672278792725E+00   0.1274066946750463E+00
