TITLE = "GEOMETRY"
VARIABLES="X0" "Y0" "Z0" "UNX0" "UNY0" "UNZ0" "ET1X" "ET1Y" "ET1Z" "ET2X" "ET2Y" "ET2Z" "AT1X" "AT1Y" "AT1Z" "AT2X" "AT2Y" "AT2Z" "A0"
ZONE T="BLADE" F=POINT, I=    40 J=    21
   0.1020876813238958E+00   0.2703802058526424E+00   0.1303085244478756E+00   0.8499350426263009E+00  -0.2451457945850093E+00   0.4663839220139481E+00   0.5235335513902784E+00   0.2932169343688694E+00  -0.7999602802439661E+00   0.5935523468499408E-01   0.9240819058917920E+00   0.3775573960590399E+00   0.1374522407897951E-02   0.7698326985823012E-03  -0.2100272900760022E-02   0.1607702850866984E-03   0.9682428083842398E-02   0.4796396533906774E-02   0.1130823557102583E-03
   0.1062206008423065E+00   0.2729926458470505E+00   0.1228025130733221E+00   0.8989887586640681E+00  -0.1943899965426710E+00   0.3924687771527542E+00   0.4349141673534306E+00   0.2905223525536710E+00  -0.8523182678447956E+00   0.5166119269732454E-01   0.9369147730241107E+00   0.3457192925745815E+00   0.2758397110512747E-02   0.1842607295825749E-02  -0.5405738473793522E-02   0.1191022164478001E-03   0.1046580246678230E-01   0.4910902124745025E-02   0.2919914381820292E-03
   0.1094532076448055E+00   0.2771596608073673E+00   0.1113175342735793E+00   0.9973377930086798E+00  -0.3162572125394159E-01   0.6570494952241829E-01   0.7266789255206321E-01   0.3561922273308094E+00  -0.9315827792424883E+00   0.6058384984246564E-02   0.9338773532666295E+00   0.3575421444069183E+00   0.4742096919862250E-03   0.2324407664491088E-02  -0.6079240325949278E-02   0.3721683957847235E-04   0.1121149498213621E-01   0.4831505949011324E-02   0.3183986906943802E-03
   0.1084557544857478E+00   0.2822099886551803E+00   0.9832143151321149E-01   0.9809632397623951E+00   0.7341137058066911E-01  -0.1797829049279523E+00  -0.1941794696261147E+00   0.3596732329453883E+00  -0.9126497132407007E+00  -0.2335767665304467E-02   0.9301859685955707E+00   0.3670812008498033E+00  -0.1471662851043873E-02   0.2725920183321948E-02  -0.6916862434418507E-02  -0.4426957958522659E-04   0.1121096852155355E-01   0.4336261753049093E-02   0.3643970612991832E-03
   0.1045166240864475E+00   0.2877976151055853E+00   0.8305645717490828E-01   0.9630317977494817E+00   0.9504052998038914E-01  -0.2520655751673521E+00  -0.2692729040338694E+00   0.3122958831105570E+00  -0.9110232623513870E+00  -0.7865092279680200E-02   0.9452187995661344E+00   0.3263427052504591E+00  -0.2467467548256427E-02   0.2861706267083070E-02  -0.8348111903884705E-02  -0.1154163933855742E-03   0.1070252229141580E-01   0.3594396947261384E-02   0.4138262609635640E-03
   0.9829683489120217E-01   0.2933504660939773E+00   0.6531281326944319E-01   0.9334318904675624E+00   0.1145135706104344E+00  -0.3399875703672143E+00  -0.3584250458988493E+00   0.2570604977400075E+00  -0.8974694351196967E+00  -0.1537505546527411E-01   0.9595866519745410E+00   0.2809929981720738E+00  -0.3752321646988920E-02   0.2691144721308866E-02  -0.9395532001580382E-02  -0.1991705813218468E-03   0.9890917934369484E-02   0.2784608143198026E-02   0.4303440690570437E-03
   0.8963389321588390E-01   0.2983881134545771E+00   0.4565608883242056E-01   0.9058540062524800E+00   0.1224392820223664E+00  -0.4055084975363397E+00  -0.4227761729427145E+00   0.2020203965927533E+00  -0.8834297181736749E+00  -0.2624551291638336E-01   0.9716976801342866E+00   0.2347653966695302E+00  -0.4910620028329357E-02   0.2346502639290968E-02  -0.1026119243544225E-01  -0.2876056939123267E-03   0.8707501998423781E-02   0.1986669891601045E-02   0.4151268488430721E-03
   0.7863060170907328E-01   0.3024180429150884E+00   0.2460268415615154E-01   0.8720075592902692E+00   0.1292075887802164E+00  -0.4721315659244043E+00  -0.4871387897882285E+00   0.1345981819769360E+00  -0.8628899865522627E+00  -0.4794388411766248E-01   0.9824401907546871E+00   0.1803126605804651E+00  -0.6092671478481266E-02   0.1683426821220316E-02  -0.1079221224082676E-01  -0.3720654939049946E-03   0.7257275903221602E-02   0.1298898954428306E-02   0.3693025929328927E-03
   0.6586837221480273E-01   0.3049289965158776E+00   0.2475280603042387E-02   0.8583872061191594E+00   0.1335186256216415E+00  -0.4953223001067602E+00  -0.5061208168471391E+00   0.6279704421893431E-01  -0.8601733836799125E+00  -0.8374439160283038E-01   0.9890547547277012E+00   0.1214807352035649E+00  -0.6669558015789296E-02   0.8275267795688490E-03  -0.1133519131228240E-01  -0.4444466676841903E-03   0.5795596411518750E-02   0.7920352750052650E-03   0.3091827278915054E-03
   0.5174993870852705E-01   0.3056495931462738E+00  -0.2012447510445697E-01   0.8242282823699612E+00   0.1484821259204561E+00  -0.5464437727924120E+00  -0.5515603915942892E+00  -0.7917763563940639E-02  -0.8340973824707161E+00  -0.1281751651678978E+00   0.9888833941887625E+00   0.7537081485492110E-01  -0.7448875490486369E-02  -0.1069301491726515E-03  -0.1126456439521696E-01  -0.4969624940257249E-03   0.4474645597915994E-02   0.4662773389547906E-03   0.2443744067277045E-03
   0.3598665308079951E-01   0.3046268550627524E+00  -0.4203911072967615E-01   0.7692819414087791E+00   0.1718920102614760E+00  -0.6153522823802706E+00  -0.6139614283973803E+00  -0.6762605383055384E-01  -0.7864337742515611E+00  -0.1767955289666230E+00   0.9827918669034537E+00   0.5351156216964992E-01  -0.8314410137241168E-02  -0.9158079343486863E-03  -0.1065007123000223E-01  -0.5150645949649263E-03   0.3323381987164711E-02   0.2844434384771007E-03   0.1826833957164762E-03
