TITLE = "PROPAN_40"
VARIABLES="X0" "Y0" "Z0" "POT" "SOURCE" "VT1" "VT2" "VTT1" "VTT2" "CP" "CPN"
ZONE T="BLADE T=0" F=POINT, I=    40 J=    21
   0.1020876813238958E+00   0.2703802058526424E+00   0.1303085244478756E+00   0.2017948589694572E+00   0.2676153719136758E+00   0.9814279388813052E-01  -0.4094454793282620E-01  -0.8886770583055120E-01  -0.5162444110215340E-01   0.9010116246470007E+00   0.9488876747464825E+00
   0.1062206008423065E+00   0.2729926458470505E+00   0.1228025130733221E+00   0.2022254303771794E+00   0.2469062588066422E+00  -0.2117402538806878E-02  -0.4675473875241865E-01  -0.2144037175395517E+00  -0.6077147432611532E-01   0.5324802046380160E+00   0.5582497245960556E+00
   0.1094532076448055E+00   0.2771596608073673E+00   0.1113175342735793E+00   0.2012725507121316E+00   0.1503035629812622E+00  -0.9164482775270599E-01  -0.5941942760218422E-01  -0.3801244173493959E+00  -0.6349907266051030E-01  -0.4034689732534842E+00  -0.4214165803880505E+00
   0.1084557544857478E+00   0.2822099886551803E+00   0.9832143151321149E-01   0.1997079195255080E+00   0.6850692776074545E-01  -0.1053678810602738E+00  -0.6568452632278579E-01  -0.4233230775950074E+00  -0.5384887746682894E-01  -0.7190995176815735E+00  -0.7518007404980420E+00
   0.1045166240864475E+00   0.2877976151055853E+00   0.8305645717490828E-01   0.1980543666607143E+00   0.4371212839129027E-01  -0.1052493336084819E+00  -0.7318334411090316E-01  -0.4280912975717300E+00  -0.5878314891428878E-01  -0.7557715996716972E+00  -0.7932454525086915E+00
   0.9829683489120217E-01   0.2933504660939773E+00   0.6531281326944319E-01   0.1958387921646006E+00   0.1311912683261759E-01  -0.1156634796265541E+00  -0.7925983538083800E-01  -0.4419324464158794E+00  -0.6148579523704384E-01  -0.8616587158013529E+00  -0.9094378906455535E+00
   0.8963389321588390E-01   0.2983881134545771E+00   0.4565608883242056E-01   0.1932146558121484E+00  -0.9810388626369487E-02  -0.1231808806809540E+00  -0.8204066012198680E-01  -0.4505116722030039E+00  -0.5973682543066412E-01  -0.9169378221953925E+00  -0.9750192379020963E+00
   0.7863060170907328E-01   0.3024180429150884E+00   0.2460268415615154E-01   0.1901284801749100E+00  -0.3354466374825021E-01  -0.1278748037664128E+00  -0.7980142151811494E-01  -0.4549395238666920E+00  -0.5562299528816922E-01  -0.9328452602941670E+00  -0.1000607300873483E+01
   0.6586837221480273E-01   0.3049289965158776E+00   0.2475280603042387E-02   0.1868457919796083E+00  -0.4070920876566524E-01  -0.1372367363780143E+00  -0.7035938711781775E-01  -0.4649308035390537E+00  -0.4656052692855722E-01  -0.9919209613595481E+00  -0.1073038270594449E+01
   0.5174993870852705E-01   0.3056495931462738E+00  -0.2012447510445697E-01   0.1829225121355889E+00  -0.5777638763076165E-01  -0.1566333041289729E+00  -0.5222699084852438E-01  -0.4828388563773501E+00  -0.2581293871110572E-01  -0.1116870984185530E+01  -0.1217453144176449E+01
   0.3598665308079951E-01   0.3046268550627524E+00  -0.4203911072967615E-01   0.1784228047147734E+00  -0.8105427416296479E-01  -0.1732098197502867E+00  -0.3561630379709202E-01  -0.4947707532005992E+00  -0.7912334916605618E-03  -0.1201743881134446E+01  -0.1318724324633680E+01
   0.1959552510099486E-01   0.3017782445062658E+00  -0.6297197643998025E-01   0.1736064978511156E+00  -0.8041753667829565E-01  -0.2036188676206421E+00  -0.1560418934082874E-02  -0.5263741409556907E+00   0.3032749648835378E-01  -0.1489723044705078E+01  -0.1641657761088500E+01
   0.2812215659510028E-02   0.2974630479323552E+00  -0.8215321668222769E-01   0.1677420359656941E+00  -0.1109028082020238E+00  -0.2446152670498645E+00   0.3618462963723593E-01  -0.5574361981052760E+00   0.7737024933524217E-01  -0.1831594484086731E+01  -0.2021972503993509E+01
  -0.1434718057063890E-01   0.2922801713096768E+00  -0.9876106154213729E-01   0.1613417200235681E+00  -0.1274740622927855E+00  -0.2929376915179192E+00   0.8744641253026955E-01  -0.6002479597893364E+00   0.1207843102174795E+00  -0.2353168813284237E+01  -0.2596552866871194E+01
  -0.3132415853557779E-01   0.2866357638518631E+00  -0.1124403478155563E+00   0.1540812677522575E+00  -0.1639346757148195E+00  -0.3258661207553439E+00   0.1499656088860004E+00  -0.6159796681785248E+00   0.1695015189639481E+00  -0.2663202508633826E+01  -0.2928702624568014E+01
  -0.4724975548943333E-01   0.2811023714640065E+00  -0.1232692992521105E+00   0.1474767933799217E+00  -0.1694092122129199E+00  -0.3466439373618782E+00   0.1794443986989244E+00  -0.6331970741314056E+00   0.1840148639565762E+00  -0.2923016864688849E+01  -0.3197425480750394E+01
  -0.6124912576820637E-01   0.2760418798315447E+00  -0.1314039759820151E+00   0.1413402083028833E+00  -0.1966212129814816E+00  -0.3735487510602251E+00   0.1619522937174029E+00  -0.6405704454081173E+00   0.1507788956209759E+00  -0.2933900775928261E+01  -0.3187679296793432E+01
  -0.7362724935683113E-01   0.2720959502111730E+00  -0.1363882840299916E+00   0.1359799801173015E+00  -0.2381877758089015E+00  -0.4337610009369994E+00   0.1055041853943923E+00  -0.6624813673480697E+00   0.9098679124477226E-01  -0.3092730284272244E+01  -0.3334968748176876E+01
  -0.8683891515195750E-01   0.2700961569245754E+00  -0.1363418285985985E+00   0.1292708138768938E+00  -0.3209747747177679E+00  -0.4041766157722302E+00  -0.2130423954110894E-02  -0.4750346340937825E+00  -0.1283418929111357E-01  -0.1087852520438659E+01  -0.1161281189338959E+01
  -0.9749178146654289E-01   0.2696408211904483E+00  -0.1334977374683350E+00   0.1255026559820151E+00  -0.3251063933816622E+00  -0.4064689740948673E+00  -0.3358823711917225E-01  -0.4434412796867721E+00  -0.4285684596543321E-01  -0.8523787929219206E+00  -0.9013895118949817E+00
  -0.1027054326716591E+00   0.2704748632804706E+00  -0.1298801088388816E+00   0.1224970980478094E+00  -0.2834731759366279E+00  -0.3697957703075536E+00  -0.7387776166977167E-03  -0.2079757061782454E+00   0.9357105460662415E-02   0.5935902189306119E+00   0.6247780516070668E+00
  -0.1084713768327522E+00   0.2732188726912560E+00  -0.1212068573929404E+00   0.1198309231455007E+00  -0.2634593049049292E+00  -0.1603193027969527E+00   0.1502913833576297E-01   0.3025784757393352E-01   0.3014225304491329E-01   0.9827848966373586E+00   0.1027768975043274E+01
  -0.1120265128663519E+00   0.2773549515744097E+00  -0.1094800692197729E+00   0.1191336079042795E+00  -0.1179784384794592E+00  -0.1810924862580432E-01   0.2912688730411173E-01   0.2845409966136822E+00   0.2528254385287702E-01   0.2267400802517305E+00   0.2361606450732898E+00
  -0.1102103655540197E+00   0.2823151172198013E+00  -0.9707091530515410E-01   0.1193459107187476E+00  -0.6225495897245713E-01   0.3444376136131533E-01   0.2753147074426350E-01   0.3532567862442934E+00   0.1248585994747758E-01  -0.1815941875550300E+00  -0.1895206696174586E+00
  -0.1058189360016439E+00   0.2878846979033846E+00  -0.8213468961545133E-01   0.1202961643908698E+00  -0.2962937087204690E-01   0.7097327313532142E-01   0.2618670538501980E-01   0.3949843098030349E+00   0.6645411381696290E-02  -0.4688675328001355E+00  -0.4916430209379505E+00
  -0.9960060551190585E-01   0.2934198925652656E+00  -0.6439416446835626E-01   0.1220032017504093E+00  -0.2405029855322945E-01   0.1148687703496414E+00   0.2836103466400074E-01   0.4404202455670647E+00   0.1107320539644662E-01  -0.8163082858461088E+00  -0.8609409851893104E+00
  -0.9121590736315782E-01   0.2984103138507448E+00  -0.4453542418470705E-01   0.1252462674671867E+00   0.1338933932022074E-01   0.1589987127031667E+00   0.2734341431338944E-01   0.4860973725505905E+00   0.5468339791604666E-02  -0.1195240559289716E+01  -0.1269914416200645E+01
  -0.8041063198235578E-01   0.3023800385541821E+00  -0.2334131629340625E-01   0.1294176541418706E+00   0.2841676565506020E-01   0.1947032238783644E+00   0.2575438523456962E-01   0.5224083919628150E+00   0.5766335061547095E-02  -0.1513347416023344E+01  -0.1622030663242973E+01
  -0.6730666840253871E-01   0.3048858166014413E+00  -0.1455941213719418E-02   0.1350144293683324E+00   0.6215286891652606E-01   0.2210593739768529E+00   0.1631105944739642E-01   0.5457306110512345E+00  -0.1075624495084217E-02  -0.1717941763293121E+01  -0.1857917189305990E+01
  -0.5261807087330460E-01   0.3056107774490114E+00   0.2073937144221423E-01   0.1409894717010093E+00   0.6185691864153027E-01   0.2461779221234139E+00  -0.5441333228551476E-03   0.5724910761578903E+00  -0.1240680958030214E-01  -0.1968837015954569E+01  -0.2146171979240236E+01
  -0.3687133790741014E-01   0.3045401848550948E+00   0.4266101360824642E-01   0.1482495966493274E+00   0.8797404929089878E-01   0.2803155641833617E+00  -0.2243028393931756E-01   0.6018525879665311E+00  -0.3007243079847031E-01  -0.2266038610129145E+01  -0.2486617173807563E+01
  -0.1982528536099261E-01   0.3017729780814004E+00   0.6313605036705072E-01   0.1560819344439222E+00   0.1058051294502017E+00   0.2939902316594836E+00  -0.5767634282669937E-01   0.6109670010386001E+00  -0.5585959875914547E-01  -0.2370584978114604E+01  -0.2612767274444001E+01
  -0.2539114035609294E-02   0.2975174291012077E+00   0.8196295514651114E-01   0.1637509126690156E+00   0.1136602598261390E+00   0.3076681048004892E+00  -0.8853592244101993E-01   0.6221621537968408E+00  -0.8318874894368763E-01  -0.2522511317187230E+01  -0.2784732171918339E+01
   0.1464414164292831E-01   0.2923326488962814E+00   0.9855325138645996E-01   0.1715531204377854E+00   0.1368892855438001E+00   0.3193874114075506E+00  -0.1158637884238277E+00   0.6243037328172798E+00  -0.1070496771379178E+00  -0.2588993707638345E+01  -0.2856504885395852E+01
   0.3160369041921340E-01   0.2866797974920392E+00   0.1122427181847107E+00   0.1787638325585832E+00   0.1584449768016347E+00   0.3092668397604035E+00  -0.1250073800483398E+00   0.6027280016073397E+00  -0.1116403670581769E+00  -0.2372842865324289E+01  -0.2608947751627936E+01
